Punto,Fecha,Métrica,Instalaciones en dispositivos activos,Notas
2017-01-04 - 2019-02-18,2017-09-08,,5961
2017-01-04 - 2019-02-18,2017-09-09,,5984
2017-01-04 - 2019-02-18,2017-09-10,,6013
2017-01-04 - 2019-02-18,2017-09-11,,6071
2017-01-04 - 2019-02-18,2017-09-12,,6105
2017-01-04 - 2019-02-18,2017-09-13,,6149
2017-01-04 - 2019-02-18,2017-09-14,,6171
2017-01-04 - 2019-02-18,2017-09-15,,6182
2017-01-04 - 2019-02-18,2017-09-16,,6188
2017-01-04 - 2019-02-18,2017-09-17,,6186
2017-01-04 - 2019-02-18,2017-09-18,,6212
2017-01-04 - 2019-02-18,2017-09-19,,6236
2017-01-04 - 2019-02-18,2017-09-20,,6262
2017-01-04 - 2019-02-18,2017-09-21,,6277
2017-01-04 - 2019-02-18,2017-09-22,,6304
2017-01-04 - 2019-02-18,2017-09-23,,6322
2017-01-04 - 2019-02-18,2017-09-24,,6348
2017-01-04 - 2019-02-18,2017-09-25,,6386
2017-01-04 - 2019-02-18,2017-09-26,,6432
2017-01-04 - 2019-02-18,2017-09-27,,6480
2017-01-04 - 2019-02-18,2017-09-28,,6520
2017-01-04 - 2019-02-18,2017-09-29,,6541
2017-01-04 - 2019-02-18,2017-09-30,,6552
2017-01-04 - 2019-02-18,2017-10-01,,6582
2017-01-04 - 2019-02-18,2017-10-02,,6639
2017-01-04 - 2019-02-18,2017-10-03,,6664
2017-01-04 - 2019-02-18,2017-10-04,,6702
2017-01-04 - 2019-02-18,2017-10-05,,6715
2017-01-04 - 2019-02-18,2017-10-06,,6751
2017-01-04 - 2019-02-18,2017-10-07,,6751
2017-01-04 - 2019-02-18,2017-10-08,,6757
2017-01-04 - 2019-02-18,2017-10-09,,6775
2017-01-04 - 2019-02-18,2017-10-10,,6790
2017-01-04 - 2019-02-18,2017-10-11,,6835
2017-01-04 - 2019-02-18,2017-10-12,,6845
2017-01-04 - 2019-02-18,2017-10-13,,6843
2017-01-04 - 2019-02-18,2017-10-14,,6847
2017-01-04 - 2019-02-18,2017-10-15,,6858
2017-01-04 - 2019-02-18,2017-10-16,,6883,"Rollout of release - Started rollout of 1.3 at 20%, Rollout of release - Increased rollout of 1.3 to 50%, Rollout of release - Increased rollout of 1.3 to 100%"
2017-01-04 - 2019-02-18,2017-10-17,,6886
